 [DEBUG] 2019-08-15 20:07:23,729 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\asyncio\__init__.py first seen with mtime 1497700638.0
 [DEBUG] 2019-08-15 20:07:23,729 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site.py first seen with mtime 1497700638.0
 [DEBUG] 2019-08-15 20:07:23,729 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\xlrd\compdoc.py first seen with mtime 1557906670.873623
 [DEBUG] 2019-08-15 20:07:23,730 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\PIL\_imaging.cp36-win_amd64.pyd first seen with mtime 1557894252.1278474
 [DEBUG] 2019-08-15 20:07:23,730 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1557894918.8185863
 [DEBUG] 2019-08-15 20:07:23,730 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\locale.py first seen with mtime 1497700638.0
 [DEBUG] 2019-08-15 20:07:23,731 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\tablib\formats\_csv.py first seen with mtime 1557906666.482097
 [DEBUG] 2019-08-15 20:07:23,731 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1557894919.4359355
 [DEBUG] 2019-08-15 20:07:23,731 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\core\wsgi.py first seen with mtime 1557894919.2873333
 [DEBUG] 2019-08-15 20:07:23,731 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\git\PycharmProjects\bc_qa_bvt\bc_qa_bvt\exta_apps\xadmin\plugins\themes.py first seen with mtime 1565870663.3432865
 [DEBUG] 2019-08-15 20:07:23,731 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\openpyxl\chart\_chart.py first seen with mtime 1542819628.0
 [DEBUG] 2019-08-15 20:07:23,731 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\jinja2\visitor.py first seen with mtime 1562207298.7954404
 [DEBUG] 2019-08-15 20:07:23,732 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\aiohttp\client_proto.py first seen with mtime 1564027686.6602256
 [DEBUG] 2019-08-15 20:07:23,732 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\openpyxl\styles\fills.py first seen with mtime 1542819629.0
 [DEBUG] 2019-08-15 20:07:23,732 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1557894919.466854
 [DEBUG] 2019-08-15 20:07:23,732 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\django\template\engine.py first seen with mtime 1557894919.553623
 [DEBUG] 2019-08-15 20:07:23,733 [MainThread:27160] [django.utils.autoreload:329] [autoreload:tick] - File D:\UserData\Program\Python36\Lib\site-packages\numpy\lib\financial.py first seen with mtime 1564402747.222058
